t	x_coord	y_coord	vol	S1	S2	id
0	2	1	108	0.351852	0.5	1
0	25	39	196	0.367347	0.0867347	2
0	14	23	149	0.5	0.5	3
0	28	2	108	0.5	0.5	4
0	32	47	135	0.5	0.5	5
0	14	13	136	0.5	0.5	6
0	42	17	129	0.5	0.5	7
0	4	45	104	0.125	0.192308	8
0	24	37	105	0.447619	0.209524	9
0	14	16	137	0.313869	0.5	10
0	47	1	171	0.5	0.5	11
0	25	8	197	0.5	0.5	12
0	33	7	145	0.5	0.0689655	13
0	42	47	199	0.407035	0.5	14
0	6	9	194	0.5	0.242268	15
0	12	19	130	0.5	0.5	16
0	16	41	182	0.5	0.5	17
0	46	19	112	0.5	0.5	18
0	32	41	138	0.5	0.449275	19
0	38	40	179	0.5	0.452514	20
0	39	23	160	0.5	0.35	22
0	5	24	113	0.371681	0.5	23
0	18	42	144	0.5	0.5	24
0	42	28	163	0.5	0.5	25
0	17	36	172	0.5	0.19186	27
0	47	35	185	0.5	0.5	28
0	18	43	135	0.5	0.5	29
0	44	36	111	0.5	0.5	30
0	47	43	118	0.220339	0.5	31
0	42	13	133	0.330827	0.323308	32
0	8	12	177	0.5	0.5	34
0	25	39	131	0.5	0.5	36
0	8	22	194	0.5	0.5	37
0	8	40	115	0.5	0.5	38
0	4	30	155	0.458065	0.5	39
0	24	1	108	0.5	0.231481	40
0	3	49	131	0.0916031	0.29771	42
0	23	19	109	0.5	0.5	43
0	5	23	160	0.5	0.21875	44
0	23	19	100	0.5	0.5	45
0	49	49	104	0.5	0.461538	46
0	11	24	154	0.318182	0.0779221	47
0	46	30	165	0.109091	0.327273	48
0	30	7	153	0.385621	0.156863	49
0	23	5	122	0.5	0.5	50
0	22	1	130	0.2	0.307692	51
0	18	45	185	0.5	0.313514	52
0	35	5	157	0.414013	0.5	53
0	8	16	111	0.432432	0.144144	54
0	37	19	133	0.5	0.5	55
0	32	14	197	0.0659898	0.5	56
0	22	41	177	0.5	0.5	57
0	4	0	160	0.28125	0.23125	58
0	32	32	155	0.5	0.5	59
0	13	15	193	0.202073	0.46114	61
0	9	18	185	0.372973	0.297297	62
0	2	13	117	0.324786	0.5	63
0	46	19	169	0.0828402	0.301775	64
0	2	25	148	0.101351	0.5	65
0	7	11	130	0.5	0.5	66
0	3	22	197	0.5	0.5	67
0	29	31	103	0.5	0.5	68
0	32	34	179	0.5	0.178771	70
0	42	49	149	0.5	0.348993	71
0	33	27	170	0.0588235	0.5	72
0	20	2	129	0.0930233	0.5	73
0	10	43	196	0.494898	0.0714286	75
0	48	10	151	0.476821	0.5	76
0	1	1	105	0.238095	0.5	77
0	48	23	113	0.5	0.185841	78
0	31	14	188	0.196809	0.5	79
0	24	0	195	0.5	0.5	80
0	18	39	110	0.390909	0.5	81
0	12	15	142	0.190141	0.239437	82
