t	i_ind	j_ind	S1	S2
0	0	0	279.5	331.5
0	0	1	90.5	709
0	0	2	466.5	409
0	0	3	29.5	891
0	0	4	428.5	669
0	1	0	440	165
0	1	1	613.5	325
0	1	2	522	481
0	1	3	430.5	699
0	1	4	428.5	706.5
0	2	0	386	320.5
0	2	1	219	197.5
0	2	2	98.5	923
0	2	3	174.5	352
0	2	4	464.5	313
0	3	0	129.5	880.5
0	3	1	6.5	350
0	3	2	315	641
0	3	3	558.5	221
0	3	4	204.5	818
0	4	0	580	649.5
0	4	1	364.5	361
0	4	2	612.5	776.5
0	4	3	301	168
0	4	4	257	377.5
0.1	0	0	279.5	331.5
0.1	0	1	90.5	709
0.1	0	2	466.5	409
0.1	0	3	29.5	891
0.1	0	4	428.5	669
0.1	1	0	440	165
0.1	1	1	613.5	325
0.1	1	2	522	481
0.1	1	3	430.5	699
0.1	1	4	428.5	706.5
0.1	2	0	386	320.5
0.1	2	1	219	197.5
0.1	2	2	98.5	923
0.1	2	3	174.5	352
0.1	2	4	464.5	313
0.1	3	0	129.5	880.5
0.1	3	1	6.5	350
0.1	3	2	315	641
0.1	3	3	558.5	221
0.1	3	4	204.5	818
0.1	4	0	580	649.5
0.1	4	1	364.5	361
0.1	4	2	612.5	776.5
0.1	4	3	301	168
0.1	4	4	257	377.5
0.2	0	0	279.5	331.5
0.2	0	1	90.5	709
0.2	0	2	466.5	409
0.2	0	3	29.5	891
0.2	0	4	428.5	669
0.2	1	0	440	165
0.2	1	1	613.5	325
0.2	1	2	522	481
0.2	1	3	430.5	699
0.2	1	4	428.5	706.5
0.2	2	0	386	320.5
0.2	2	1	219	197.5
0.2	2	2	98.5	923
0.2	2	3	174.5	352
0.2	2	4	464.5	313
0.2	3	0	129.5	880.5
0.2	3	1	6.5	350
0.2	3	2	315	641
0.2	3	3	558.5	221
0.2	3	4	204.5	818
0.2	4	0	580	649.5
0.2	4	1	364.5	361
0.2	4	2	612.5	776.5
0.2	4	3	301	168
0.2	4	4	257	377.5
0.3	0	0	279.5	331.5
0.3	0	1	90.5	709
0.3	0	2	466.5	409
0.3	0	3	29.5	891
0.3	0	4	428.5	669
0.3	1	0	440	165
0.3	1	1	613.5	325
0.3	1	2	522	481
0.3	1	3	430.5	699
0.3	1	4	428.5	706.5
0.3	2	0	386	320.5
0.3	2	1	219	197.5
0.3	2	2	98.5	923
0.3	2	3	174.5	352
0.3	2	4	464.5	313
0.3	3	0	129.5	880.5
0.3	3	1	6.5	350
0.3	3	2	315	641
0.3	3	3	558.5	221
0.3	3	4	204.5	818
0.3	4	0	580	649.5
0.3	4	1	364.5	361
0.3	4	2	612.5	776.5
0.3	4	3	301	168
0.3	4	4	257	377.5
0.4	0	0	279.5	331.5
0.4	0	1	90.5	709
0.4	0	2	466.5	409
0.4	0	3	29.5	891
0.4	0	4	428.5	669
0.4	1	0	440	165
0.4	1	1	613.5	325
0.4	1	2	522	481
0.4	1	3	430.5	699
0.4	1	4	428.5	706.5
0.4	2	0	386	320.5
0.4	2	1	219	197.5
0.4	2	2	98.5	923
0.4	2	3	174.5	352
0.4	2	4	464.5	313
0.4	3	0	129.5	880.5
0.4	3	1	6.5	350
0.4	3	2	315	641
0.4	3	3	558.5	221
0.4	3	4	204.5	818
0.4	4	0	580	649.5
0.4	4	1	364.5	361
0.4	4	2	612.5	776.5
0.4	4	3	301	168
0.4	4	4	257	377.5
